CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
  185201 2313311313331311111331311311313
  186231 1331133133331131133111313311311131113313313133133313331133133
  186231 2313111311331311111313313331313
  187210 1311131133333131133311113311311133313313311133113313331113133
  187210 2313311113331311111113313331133
  188190 1131133133333131133311113111111131111313111113133311331313133
  188190 2311113113333331113133311331333
  189190 1331113113333331133333111111111311331333313131113313331113311
  189190 2311311111133331133133113331333
  190190 1331133133133331133313131113311111131313113111113313131313331
  190190 2313311131331311111133113311333
  191201 1331313331333131333313133311311133311333113133133313331111333
  191201 2313313133333331111333333331311
  192181 1313331133333131133311333113311331311333331113133313333133133
  192181 2311313331331313111333313311313
  193211 1333113133333131131311333313111131311313111133133313331131133
  193211 2333311111333313111133311331333
  194211 1333113133333131131311333313111131311313111133133313331131133
  194211 2333311111333313111133311331333
  195220 1333133313333133333313333333313333313333131131133313331333313
  195220 2133333333113331313113331333131
  196340 1331333113333331333311133113111131311333311111133313333313111
  196340 2313311111133311111133113331313
  197190 1333133133333331333311133113311131313333311133113311331133131
  197190 2313111131331311111131313331313
  198190 1133113333133311313313133113131331311333111131113113131113333
  198190 2333313111133313131133113311313
  199190 1313131311333331333111311313111311311311111333113313331131333
  199190 2333313331333331133113313331333
  200190 1313313113333333331111333331311333111311311133333333331113333
  200190 2313313311131331111113333331333
  201190 1333133333333333133331133311111331313333331113133313333113333
  201190 2333311131331113133333313331333
  202280 1313113333331133133313131313311331311331133331133333133113313
  202280 2333311131133313131113113331333
  203200 1333113313333111133333113311331111311333113131113113131313331
  203200 2311311311133311311333113331313
  204190 1311113133333311113111331111111131113313113111113313113313113
  204190 2311311111131311111111313131133
  205200 1333133133333131333311133313331131131333311333133113331331133
  205200 2313113133331311111133333333333
  206200 1133333333113331313313133313113131311333113333133313313133331
  206200 2313313133333113133131111331313
  207181 1313331333133131333311133311311331311313331331133113331131331
  207181 2313313133131333111133311311311
  208221 1131131333333131333131333111311131113313311131313313331113333
  208221 2333111113131311113333333331133
  209650 1331313113131131133311113311111111131311311131113113331113111
  209650 2311311311133311111133311311333
  210190 1333333333333133133311133313311131313333331133313313311131333
  210190 2333313133311333131113333333313
  211200 1131133313333331133311133311111331311333111133133311331113133
  211200 2311313131333313131133313331313
  212210 1133133333133113333113333333113131111333111331133113311333331
  212210 2313113111133311111311313311313
  213230 1113313333331131331311131313111331331331333133113313313113313
  213230 2333331311333313131131313333313
  214230 1113313333331131331311131313111331331331333133113313313113313
  214230 2333331311333313131131313333313
  215201 1131113133131131333113111311311311311313133131113311331113311
  215201 2313113113131313111113111311131
  216180 1113131331331131133111113311111131113311311133113313331111133
  216180 2313311133331331111113313331313
  217190 1131113133333133133313133313311331331331113131113313331113331
  217190 2331111113133311131133113331333
  218190 1133113333333331133313131313111331333333133111133313331113331
  218190 2313313311133313111331313331333
  219180 1133133333333131333113133313311311131133313313113331313131133
  219180 2133311313313331313113331331131
  220210 1133133313333331133313113311111131313331311133133133331113311
  220210 2313113311333111111131311331313
  221260 1331313333133131133313133111111331331333113111113311133133333
  221260 2331113133133311311113113311333
  222210 1133111133131311133313111111131131311311113131313313331133111
  222210 2311111131133311111133313311313
  223260 1333333333333131333311133313311331313333331133113313331333333
  223260 2313313131333313131133311331313
  224350 1333111113333313133313131133131331131331333131131311333311313
  224350 2311311131113333111133313331333
  225220 1331133133333333333311133313111331331333331133133313333133113
  225220 2311111133331313313131313331333
  226210 1331131133133311333113113111111111131313311111113113111133111
  226210 2311311331131311111111113311133
  227240 1333133113333331133311333311113331311331331131333313331113331
  227240 2131313133133313133131313333333
  228231 1331133333331331133313111111311131333313113131333311331313133
  228231 2313113113111311113133133311333
  229190 1331333333333131133311311313311131313313311133311311333131133
  229190 2313113313331331111133313333113
  230180 1331133113331331133113111311111131113313113133133111313113131
  230180 2311111131131111113113311331333
  231200 1333133133333131333311133311111331311331311113133313331111131
  231200 2311313133331313111113113331313
  232191 1333133133333131133311131311111133111333331331133313313113133
  232191 2311313311131311111113313333113
  233100 1111131331331331133111113311133131111311113111333111331113331
  233100 2313111331331311113111333311333
  234231 1131131113333331331111133111111331133313311133113313331333333
  234231 2313111133333311111111313331333
  235250 1331133333333331333111113313111331313333331133113313333133131
  235250 2311313133333313133133313331133
  236200 1333113313133311133313331111311311311333113131113313331113111
  236200 2311111113133313111133111313333
  237381 1133333333333113333311133113331311311333131133133313133331331
  237381 2313313133313333131333113331313
  238221 1333113313333131133313111313311331313131131133331313331111333
  238221 2311113313333333111333313331113
  239200 1311133331333131333111133311111131111333311133133313311113333
  239200 2311111111331311111113311331313
  240200 1333313333331131333111313311311131111313111131333313331313331
  240200 2313111333331311111333313331313
  241180 1333133333333113133313133313313131311333331131133313333331333
  241180 2333313131331313131133313331333
  242200 1331133133333333133111111111111331111311311111113313333313111
  242200 2311111131111113131133113331333
  243181 1331333131331131331111133111311131113333311333113313311111111
  243181 2311331131313131111313331331313
  244290 1333131113331331333111111311113131311311311133133311333113113
  244290 2311311111333311113111313131333
  245270 1333111133133131333313131313131331333311131313111313311331313
  245270 2311111133331331111333313331113
  246211 1132313111133131131311333331111113111313111133333313331111333
  246211 2313113333333333113113313331131
  247201 1333311133331331333113111111111133111313113131333313331133333
  247201 2311313113331311111113313331333
  248200 1331331133313331133111113111311131113313313133133311311313133
  248200 2311311111331111111313113331333
  249241 1333131131331331133111113311111131113313311113113313331313133
  249241 2313311111331331111133313331113
  250210 1333313333333333133313133113111331311333333133133313331313333
  250210 2311313133333313131133313311333
  251180 1331333133331331333311333311311131113313111131313313311113133
  251180 2333113133133311131113313331333
  252211 1333311313133131133311113311311131111313311133133313331331333
  252211 2313311313331131111313313331333
  253200 1333113331133111133313133113111331311313131111131113333113333
  253200 2111313131133113131133113311333
  254211 1333333333333133333111133313311331333313331131333111333133333
  254211 2313333133333313111133313113313
  255180 1313131331331131333111313313311131113333331133333313313131133
  255180 2313313111331331111113313331333
  256191 1333333113331331133111113311111331111333313133133313331133133
  256191 2311313113311311111311313331331
  257181 1333333333333331333131113313131331311333333133133313333111333
  257181 2333113113131333111133113333313
  258180 1333133133331131133331113313111111111333111111133313331311111
  258180 2333113133311331133133313331313
  259190 1331131133333331133311111311311131131333311133113313331113133
  259190 2313113113331331131113311331333
  260200 1133331331331331331311313313111133113113311133133313331113333
  260200 2313313331331311111313313331333
  261201 1331111131331331133111113311111133113313311131333313311333133
  261201 2313111113131311111311311331313
  262190 1133133331331313133313133311311111311333311131313313331133133
  262190 2313113131131311131133313311313
  263191 1131333131333131133113113311311131113113111133113313333113331
  263191 2313313311313311111333313333313
  264181 1133333333333131333311313313111131311333331133313313331131131
  264181 2333113113333331111133333331313
  265181 1331133133331331133111113311113131313313311131133311331113133
  265181 2313113111331311111113311331333
  266180 1331133113333131133331131313311331333331331133133313331133113
  266180 2313333311333313111133311331333
  267220 1331133133333131133311111313111331311311331131133313331333133
  267220 2311113111133311113133311331313
  268200 1313313331133333113311133313111331311333133331313333133333333
  268200 2333313313131111131131113333333
  269180 1333113331333333333313131311311131311311113113333333333311313
  269180 2333331113333331131333313311313
  270190 1313133333333331333313133311311331311331313133133313333313331
  270190 2331311331333313131133313331333
  271181 1333113313133313111333133133131131331331133111133311131133313
  271181 2331113131113113133131113311313
  272201 1333133333333311133333131113111331333331333131113311131113311
  272201 2311313111133133113133113331333
  273200 1333133311333333133311133311311131113313311133113313311133111
  273200 2311313111331331113113311333313
  274201 1113113333333331133113333311111131111333111131333311311131333
  274201 2313113333131331133113313331333
  275190 1333133313333131133111111311111131113313113131133313331313133
  275190 2311113133331311111113313331333
  276240 1313133313333131131311133113111131331333313111133311333113311
  276240 2311313331333133111133313333333
  277201 1311131111331331333331313111311131113313311113113313331331333
  277201 2313313133331331111333113331111
  278191 1333133333333331331311133313111111311333333133133313333113331
  278191 2133333311333311331333311311333
  279200 1313333331333131331311333313111331311333331131133133333111331
  279200 2333313133333333131133113331313
  280211 1331111333333331133331111313311131333313113133333311331313333
  280211 2313311133333331133311333331333
  281190 1333313313333331133111113111111131111313311131133313333333313
  281190 2333313111331311133113313331333
  282190 1333133133133331133313111113111111311331113133113313333133311
  282190 2333313131333311133133113313333
  283190 1331113333133311133113133313331111331333133111131311331311313
  283190 2313113111133111131113113311333
  284440 1333113133333331133313111313113331331311333113133111333333333
  284440 2311113111333113113133313331333
  285190 1113133313333133133313133113111331311333131133113313333311331
  285190 2333133111333313131131113311333
  286190 1131133133333131331313113311311131331311111133333111331111333
  286190 2313313111131331111313313311313
  287191 1331133333333131333111133311311131111333311133113313311133133
  287191 2311311113131311113113313331313
  288190 1333133333333331131311131313311331331333311111333313331113333
  288190 2333313111133313131133313331333
  289201 1333333333333131331311133311111131113313313133313313333113333
  289201 2313313133331311111313313331331
  290191 1133133333333333313311133313311333311333131133133313333133333
  290191 2333333313333313133133313331333
  291190 1333311331113113311113313133333131133331311131133311333313313
  291190 2311313111333311311113313331331
  292180 1331133133333111133313133313111131313333113113133313333313333
  292180 2313313131133111131333313333333
  293190 1133113313133333311313131311111331311331113111333113333133111
  293190 2311313311133333113131313313333
  294190 1331313113333311113113113113131131113311113113113313131133113
  294190 2313311311131311111333113331333
  295190 1131133133131311133313111111131131111313311131113313331113111
  295190 2313111131131133113131111111333
  296191 1131113113333331133113113311131113113313113111113313331133133
  296191 2311313111133111111313311311333
  297190 1133133313333331333313111311111131311333311131133313331113111
  297190 2311113111133313131111313311333
  298241 1333113333333331333311113313313133311313313133133313331133333
  298241 2313313131331311133133333333333
  299190 1331133333333331333333131311311131313313313113133311331133131
  299190 2333113131333311111133313131313
  300240 1131113313331331133131111111111131113311311133113313331113311
  300240 2311111111331311111113113331131
  301220 1333133331333333333113313313331331311313331133133313331313333
  301220 2313311313313313111111313131333
  302191 1333311133133111133313333313311311331333133111133111133113333
  302191 2331313133133313131133111313333
  303190 1331133131331331333111111311111131113313311133113313331113313
  303190 2313111111331311113113311331333
  304201 1333133131133313313113133313111111311313333131133313313111133
  304201 2311313333331311131313313311333
  305190 1331131113333331133311133113331131111313311131133311331113113
  305190 2313113111331311113333311311333
  306191 1133113133333333133131111313111331311331111131133313331113113
  306191 2311111111331311113113113111333
  307190 1133133331133331333311133313131131311313313133113311331113331
  307190 2313113331333111131133313333313
  308230 1311133133333131333313113313311111333333331131111111331133133
  308230 2311311111133311131133313331333
  309180 1331333131333331133311113311311131113313311113113313311113333
  309180 2313311311331131113333313331333
  310190 1333333331333331133133113311111333133333311133113311331113133
  310190 2313111133331311113333313331333
  311190 1331133311331311133311131111111131133313311113131311331313311
  311190 2311311111331311133133113331133
  312180 1131133113333331133111111333111131131313311131133311333133111
  312180 2311111111131311113133313311113
  313190 1333333333333331133111113311311131111333311131313313313133331
  313190 2313111131331311111113313331333
  314190 1333133333333131333311111113311131311333311131133313331113131
  314190 2313313111333311111133113331313
  315190 1133133333333131333311111313311131313133311131333113331113131
  315190 2311313111333313311133113331313
  316201 1333331331331133333311133311313131113313311131313313331113333
  316201 2133113333133311131333313331313
  317280 1313133133331131133111131113111133311333311133113313333111113
  317280 2313311133311331131133313331133
  318220 1313133313333331333313131113111311313333333113133311333333313
  318220 2333333111333313333133113331313
  319220 1331313333333331313313133113131311113331333133133111331113331
  319220 2313313131333313131133113331313
  320201 1333133131333331133313133311111331311313331133113313333133133
  320201 2331311111333311111133313331133
  321200 1333333331333131331311133311111133333333313133133311333333333
  321200 2333333133331311331133313331311
  322201 1331333113333331133111333131111313113113133311133131311333331
  322201 2313113113133311133131311333331
  323191 1313333133333331133311133313311133313313131133333313333331333
  323191 2333311333331331131333313333313
  324191 1331113131313331133111113313311311113113111131113313331131333
