ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
  266240 2313111313113311133111313113312313333
  267261 1331313113133331333111113313331131113333313131113311331
  267261 2313333313111113311111113113111333331
  268291 1331333113333331133131111313131111111333311133133313331
  268291 2313333311113111313311113113111131333
  269281 1333333133333331333111131113113333111313331331133313333
  269281 2331333313113333333311333113313331333
  270221 1111333113333331133111111313111111133331311113131111131
  270221 2333111311113111331111113113311131333
  271301 1133113313312331133131113113111131311333313131131311333
  271301 2331113113331113133311131131313133331
  272281 1133313113333133133331133113131111111333311131133311331
  272281 2311333333111113331331133113121331333
  273251 1333133313333111133333131113331331131333311133131311331
  273251 2333313333111113333311333113311331133
  274211 1133313313333311133133113113131111131333111133131311331
  274211 2313331313333311333111133313111313333
  275190 1331333113331331131133133133113331311333311131131311311
  275190 2313313313131331331313113313111331133
  276240 1333131313333333133133133313131111133313331131131313331
  276240 2331113313313311333331131333311131333
  277271 1123331313333331133131131113131113131333311133113311331
  277271 2333113331313111331111113113311131133
  278231 1313331333333313331133113313311111333333331333333313311
  278231 2331133313311313331331333311313331331
  279230 1311333133331331133333111311131131133311311113131311331
  279230 2333113311111111331311113311311131333
  280221 1333331113331331133313111311131131111333311131133311311
  280221 2311133311313131331311313111311331133
  281261 1131311133133331133131133111131131313313111113133313331
  281261 2333133313111111331311131313111133333
  282230 1333331113333333133131133131131131133331111111131311331
  282230 2311111313313311133311133313311131333
  283210 1311331133333133333313133333133333111333113311133311331
  283210 2311331333131113133331331133331333312
  284231 1313133333333133333111133113311331311333113131133311131
  284231 2311333133313111133133131133313313313
  285271 1333111113333131133111111313111131131333311133133311311
  285271 2313313313111111331311111113313311133
  286300 1113313313333111331131111113111111113333113111131113331
  286300 2333113313311311313311113111111133133
  287320 1113313133333311133113111113131111133331313113131111131
  287320 2313113331131111131111131111111133133
  288230 1131311113333331233311113113113111113311111111133313331
  288230 2313313313111311131311113111111131111
  289210 1333313113333311133333111313133131111333313131133313131
  289210 2313113333331131133311132133111333333
  290190 1331113313133131133313133333313111311333313331133311331
  290190 2331331333313131333311333133131333311
  291230 1333313113333331133333111113133131131331313133133311333
  291230 2333313311111311331311113313313331333
  292210 1333313333333131333331133133331333131332332111133331333
  292210 2313333313333331311333133333331331133
  293200 1331133333111331132311113311333133133313312331231131313
  293200 2313331311133331313331331313113133131
  294190 1333331133333311333331131313311333313313311333131311331
  294190 2313311131113331331113133113311133133
  295200 1331333123331113131113131113131131113321313131113311331
  295200 2333333311113111333111133113111131111
  296240 1131133333333311133131131113131311131333113111131311331
