Scale,M2,df,p,RMSEA,RMSEA_5,RMSEA_95,SRMSR,TLI,CFI
Psychoticism,145.6886577442649,54,2.3318780240089154e-10,0.05561279921043841,0.044802514867781876,0.06652163940451118,0.06373546326143073,0.6328693241078389,0.6996203560882318
Extraversion,159.60815580153334,54,2.2702950630559826e-12,0.059685065834243996,0.049058889805381325,0.0704419057583622,0.052313599214543746,0.9304484003647577,0.9430941457529836
Neuroticism,77.14890718453748,54,0.021025118651596286,0.027943589623687502,0.011272753115498482,0.04124771022013906,0.032222599206930755,0.9924242938886327,0.9938016949997903
Lie,120.91270841572307,54,4.915605872346518e-7,0.04750849276815289,0.03615681902454563,0.05881249059094414,0.05141075843039753,0.9484302980918705,0.9578066075297123
